id,topic,prompt
cartoon_015,Software Evolution,A colorful diagram in cartoon style visualizing Software Evolution.
cartoon_016,Software Evolution,A colorful diagram in cartoon style visualizing Software Evolution.
cartoon_014,Validation and Testing,An anime-style educational drawing explaining Validation and Testing.
cartoon_001,Waterfall Model,An anime-style educational drawing explaining Waterfall Model.
cartoon_033,Change Management,Comic strip of students and teacher interacting about Change Management.
cartoon_013,Validation and Testing,A cartoon showing Validation and Testing with humorous classroom visuals.
cartoon_028,Capability Maturity Model,A cartoon showing Capability Maturity Model with humorous classroom visuals.
cartoon_009,Requirements Engineering,An anime-style educational drawing explaining Requirements Engineering.
cartoon_026,Process Metrics,A fantasy-style cartoon where characters apply Process Metrics to solve a problem.
cartoon_031,Rapid Delivery,A fun sketch of a robot teacher explaining Rapid Delivery to students.
cartoon_032,Rapid Delivery,A chalkboard comic featuring characters discussing Rapid Delivery.
cartoon_011,Software Prototyping,A classroom scene with students acting out the Software Prototyping.
cartoon_038,Interface Design,A classroom scene with students acting out the Interface Design.
cartoon_005,Incremental Development,A colorful diagram in cartoon style visualizing Incremental Development.
cartoon_024,Process Improvement,A colorful diagram in cartoon style visualizing Process Improvement.
cartoon_004,Agile vs Plan-driven,A colorful diagram in cartoon style visualizing Agile vs Plan-driven.
cartoon_029,Design and Implementation,Comic strip of students and teacher interacting about Design and Implementation.
cartoon_022,Customer Testing,An engaging educational poster in comic style about Customer Testing.
cartoon_036,Architectural Design,An anime-style educational drawing explaining Architectural Design.
cartoon_034,Change Management,A colorful diagram in cartoon style visualizing Change Management.
